text1,text2,label
"The impact of climate change on global ecosystems is profound and far-reaching. Rising temperatures are causing polar ice caps to melt, leading to rising sea levels and threatening coastal communities worldwide.","The effects of climate change on worldwide ecosystems are extensive and significant. Increasing global temperatures are melting polar ice, resulting in higher sea levels that endanger coastal populations across the globe.",1
"Quantum computing represents a paradigm shift in computational theory, leveraging quantum mechanical phenomena such as superposition and entanglement to perform operations on data.","Quantum computing represents a paradigm shift in computational theory, leveraging quantum mechanical phenomena such as superposition and entanglement to perform operations on data.",1
"Artificial intelligence is transforming industries across the globe, with machine learning algorithms now capable of performing tasks that once required human intelligence.","Artificial intelligence is revolutionizing industries around the world, as machine learning algorithms can now accomplish tasks that previously needed human cognitive abilities.",1
"The Renaissance was a period of European cultural, artistic, political, and scientific rebirth following the Middle Ages.","The Renaissance marked a time of cultural, artistic, scientific, and political flourishing in Europe after the medieval period.",1
"Shakespeare's works, including 37 plays and 154 sonnets, have been translated into every major living language and are performed more often than those of any other playwright.","The works of Shakespeare, comprising 37 plays and 154 sonnets, have been rendered in all significant modern languages and are staged more frequently than any other dramatist's creations.",1
"The impact of climate change on global ecosystems is profound and far-reaching.","Quantum computing represents a paradigm shift in computational theory, leveraging quantum mechanical phenomena.",0
"Artificial intelligence is transforming industries across the globe.","The Renaissance was a period of European cultural, artistic, political, and scientific rebirth following the Middle Ages.",0
"Shakespeare's works have been translated into every major living language.","The human genome contains approximately 3 billion base pairs of DNA and about 20,000 protein-coding genes.",0
"The solar system consists of the Sun and eight planets, along with their moons, asteroids, and comets.","Modern democracy is characterized by free and fair elections, protection of human rights, and the rule of law.",0
"Regular exercise has been shown to improve cardiovascular health, strengthen muscles, and enhance mental wellbeing.","Coffee is one of the most popular beverages worldwide, with billions of cups consumed daily across different cultures.",0 
